CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2800501001;Alcalá de Henares;2235;14;8.72;7;2018-10-17_12_18_18
2800501002;Alcalá de Henares;2436;7;8.53;3;2018-10-17_12_18_18
2800501003;Alcalá de Henares;1958;9;10.93;4;2018-10-17_12_18_18
2800501004;Alcalá de Henares;2172;9;13.08;1;2018-10-17_12_18_18
2800501005;Alcalá de Henares;2200;16;12.32;11;2018-10-17_12_18_18
2800501006;Alcalá de Henares;2402;12;8.12;1;2018-10-17_12_18_18
2800501007;Alcalá de Henares;2598;3;8.61;4;2018-10-17_12_18_18
2800501008;Alcalá de Henares;1833;1;9.44;2;2018-10-17_12_18_18
2800501009;Alcalá de Henares;1987;1;0;0;2018-10-17_12_18_18
2800501010;Alcalá de Henares;1919;11;7.97;3;2018-10-17_12_18_18
2800501011;Alcalá de Henares;1936;4;8.40;2;2018-10-17_12_18_18
2800501012;Alcalá de Henares;1594;2;0;0;2018-10-17_12_18_18
2800501013;Alcalá de Henares;1400;1;7.26;1;2018-10-17_12_18_18
2800501014;Alcalá de Henares;2504;12;0;0;2018-10-17_12_18_18
2800501015;Alcalá de Henares;1946;14;8.59;2;2018-10-17_12_18_18
2800501016;Alcalá de Henares;1841;13;8.74;4;2018-10-17_12_18_18
2800501017;Alcalá de Henares;1693;6;10.83;1;2018-10-17_12_18_18
2800501018;Alcalá de Henares;1724;7;0;0;2018-10-17_12_18_18
2800501019;Alcalá de Henares;2167;1;0;0;2018-10-17_12_18_18
2800501020;Alcalá de Henares;1847;2;11.11;1;2018-10-17_12_18_18
2800501021;Alcalá de Henares;1948;10;9.00;1;2018-10-17_12_18_18
2800501022;Alcalá de Henares;1987;2;8.39;2;2018-10-17_12_18_18
2800501023;Alcalá de Henares;2382;7;10.48;1;2018-10-17_12_18_18
2800501024;Alcalá de Henares;1836;4;10.43;2;2018-10-17_12_18_18
2800502001;Alcalá de Henares;1584;4;8.00;1;2018-10-17_12_18_18
2800502002;Alcalá de Henares;1515;5;10.00;1;2018-10-17_12_18_18
2800502003;Alcalá de Henares;1703;2;0;0;2018-10-17_12_18_18
2800502004;Alcalá de Henares;1267;7;0;0;2018-10-17_12_18_18
2800502005;Alcalá de Henares;1168;3;0;0;2018-10-17_12_18_18
2800502006;Alcalá de Henares;1386;4;0;0;2018-10-17_12_18_18
2800502007;Alcalá de Henares;1739;2;7.09;1;2018-10-17_12_18_18
2800502008;Alcalá de Henares;1789;56;7.66;5;2018-10-17_12_18_18
2800502009;Alcalá de Henares;1100;2;0;0;2018-10-17_12_18_18
2800502010;Alcalá de Henares;1011;1;0;0;2018-10-17_12_18_18
2800502011;Alcalá de Henares;852;10;0;0;2018-10-17_12_18_18
2800502012;Alcalá de Henares;1382;11;0;0;2018-10-17_12_18_18
2800502013;Alcalá de Henares;1224;3;0;0;2018-10-17_12_18_18
2800502014;Alcalá de Henares;1600;9;7.37;2;2018-10-17_12_18_18
2800502015;Alcalá de Henares;986;2;0;0;2018-10-17_12_18_18
2800502016;Alcalá de Henares;1559;2;9.89;2;2018-10-17_12_18_18
2800502017;Alcalá de Henares;1071;4;7.85;1;2018-10-17_12_18_18
2800502018;Alcalá de Henares;1738;2;10.77;1;2018-10-17_12_18_18
2800502019;Alcalá de Henares;1788;9;0;0;2018-10-17_12_18_18
2800502020;Alcalá de Henares;1733;13;8.06;2;2018-10-17_12_18_18
