CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2800601002;Alcobendas;2184;9;0;0;2018-10-17_12_09_53
2800601003;Alcobendas;2594;9;0;0;2018-10-17_12_09_53
2800601004;Alcobendas;2464;9;9.88;1;2018-10-17_12_09_53
2800601005;Alcobendas;1945;2;0;0;2018-10-17_12_09_53
2800601006;Alcobendas;2124;3;0;0;2018-10-17_12_09_53
2800601007;Alcobendas;1641;4;11.43;1;2018-10-17_12_09_53
2800601008;Alcobendas;2848;3;0;0;2018-10-17_12_09_53
2800601009;Alcobendas;2550;18;10.57;1;2018-10-17_12_09_53
2800601011;Alcobendas;2800;1;0;0;2018-10-17_12_09_53
2800601012;Alcobendas;0;0;0;0;2018-10-17_12_09_53
2800601013;Alcobendas;2127;6;0;0;2018-10-17_12_09_53
2800601014;Alcobendas;2207;6;13.83;3;2018-10-17_12_09_53
2800601015;Alcobendas;2055;5;0;0;2018-10-17_12_09_53
2800601016;Alcobendas;2175;6;10.67;1;2018-10-17_12_09_53
2800601017;Alcobendas;3094;3;0;0;2018-10-17_12_09_53
2800601018;Alcobendas;2292;12;0;0;2018-10-17_12_09_53
2800601019;Alcobendas;0;0;0;0;2018-10-17_12_09_53
2800601020;Alcobendas;2218;2;15.12;1;2018-10-17_12_09_53
2800601021;Alcobendas;2539;6;12.27;1;2018-10-17_12_09_53
2800601022;Alcobendas;2186;4;0;0;2018-10-17_12_09_53
2800601023;Alcobendas;2346;7;11.94;1;2018-10-17_12_09_53
2800601024;Alcobendas;2238;1;0;0;2018-10-17_12_09_53
2800601025;Alcobendas;2537;4;9.50;1;2018-10-17_12_09_53
2800601026;Alcobendas;0;0;0;0;2018-10-17_12_09_53
2800601027;Alcobendas;2154;1;0;0;2018-10-17_12_09_53
2800601028;Alcobendas;2479;3;12.15;1;2018-10-17_12_09_53
2800601029;Alcobendas;2529;2;0;0;2018-10-17_12_09_53
2800601030;Alcobendas;2569;15;11.43;1;2018-10-17_12_18_18
2800601031;Alcobendas;3019;11;0;0;2018-10-17_12_18_18
2800601032;Alcobendas;2630;9;12.63;1;2018-10-17_12_18_18
2800601033;Alcobendas;4168;55;13.92;34;2018-10-17_12_18_18
2800601034;Alcobendas;4783;24;14.93;8;2018-10-17_12_18_18
2800601035;Alcobendas;0;0;0;0;2018-10-17_12_18_18
2800601036;Alcobendas;0;0;0;0;2018-10-17_12_18_18
2800601037;Alcobendas;4106;134;15.20;32;2018-10-17_12_55_29
2800601038;Alcobendas;2619;12;12.63;1;2018-10-17_12_55_29
2800601039;Alcobendas;4273;23;13.55;14;2018-10-17_12_55_29
2800601040;Alcobendas;4918;82;15.09;15;2018-10-17_13_18_06
2800601041;Alcobendas;5102;50;15.26;26;2018-10-17_13_18_06
2800601042;Alcobendas;2299;4;19.44;1;2018-10-17_13_18_06
2800601043;Alcobendas;0;0;0;0;2018-10-17_13_18_06
2800601044;Alcobendas;2847;4;0;0;2018-10-17_13_18_06
2800601045;Alcobendas;2455;8;8.66;1;2018-10-17_13_18_06
2800601046;Alcobendas;2276;12;0;0;2018-10-17_13_18_06
2800601047;Alcobendas;2521;4;0;0;2018-10-17_13_18_06
2800601048;Alcobendas;4406;39;14.05;15;2018-10-17_13_18_06
2800601049;Alcobendas;0;0;0;0;2018-10-17_13_18_06
2800601050;Alcobendas;2883;5;0;0;2018-10-17_13_18_06
2800601051;Alcobendas;3154;7;0;0;2018-10-17_13_18_06
2800601052;Alcobendas;3020;10;10.01;3;2018-10-17_13_18_06
2800601053;Alcobendas;3635;5;0;0;2018-10-17_13_18_06
2800601054;Alcobendas;3286;5;12.25;6;2018-10-17_13_18_06
2800601055;Alcobendas;3753;4;10.45;3;2018-10-17_13_18_06
2800601056;Alcobendas;3476;1;10.92;4;2018-10-17_13_18_06
2800601057;Alcobendas;3662;6;13.42;4;2018-10-17_13_18_06
2800601058;Alcobendas;3412;1;0;0;2018-10-17_13_18_06
2800601059;Alcobendas;5101;78;15.74;64;2018-10-17_13_18_06
2800601060;Alcobendas;2910;45;13.74;24;2018-10-17_13_18_06
2800601061;Alcobendas;3137;4;0;0;2018-10-17_13_18_06
2800601062;Alcobendas;3449;2;13.84;1;2018-10-17_13_18_06
2800601063;Alcobendas;3488;25;13.33;3;2018-10-17_13_18_06
