CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2800701001;Alcorcón;0;0;0;0;2018-10-17_11_31_36
2800701002;Alcorcón;1663;7;7.73;2;2018-10-17_11_31_36
2800701003;Alcorcón;1721;6;12.50;1;2018-10-17_11_31_36
2800701004;Alcorcón;1875;2;0;0;2018-10-17_11_31_36
2800701005;Alcorcón;1983;6;0;0;2018-10-17_11_31_36
2800701006;Alcorcón;2167;5;15.83;1;2018-10-17_11_31_36
2800701007;Alcorcón;1771;9;14.11;2;2018-10-17_11_31_36
2800701008;Alcorcón;1732;7;10.83;1;2018-10-17_11_31_36
2800701009;Alcorcón;0;0;10.00;1;2018-10-17_11_31_36
2800701010;Alcorcón;1960;9;9.19;2;2018-10-17_11_31_36
2800701011;Alcorcón;1875;5;0;0;2018-10-17_11_31_36
2800701012;Alcorcón;1435;4;10.19;3;2018-10-17_11_31_36
2800701013;Alcorcón;3173;1;0;0;2018-10-17_11_31_36
2800701014;Alcorcón;2497;2;12.99;2;2018-10-17_11_31_36
2800701015;Alcorcón;0;0;0;0;2018-10-17_11_31_36
2800701016;Alcorcón;2606;5;8.62;5;2018-10-17_11_31_36
2800701017;Alcorcón;2425;10;10.28;4;2018-10-17_11_31_36
2800701018;Alcorcón;2416;46;10.39;3;2018-10-17_11_31_36
2800702001;Alcorcón;2780;2;0;0;2018-10-17_11_31_36
2800702002;Alcorcón;2054;4;0;0;2018-10-17_11_31_36
2800702003;Alcorcón;2210;2;0;0;2018-10-17_11_31_36
2800702004;Alcorcón;1807;2;0;0;2018-10-17_11_31_36
2800702005;Alcorcón;2121;2;0;0;2018-10-17_11_31_36
2800702006;Alcorcón;2895;1;0;0;2018-10-17_11_31_36
2800702007;Alcorcón;2170;1;0;0;2018-10-17_11_31_36
2800702008;Alcorcón;3032;2;7.80;1;2018-10-17_11_31_36
2800702009;Alcorcón;2257;3;8.43;2;2018-10-17_11_31_36
2800702010;Alcorcón;2252;2;0;0;2018-10-17_11_31_36
2800702011;Alcorcón;2331;2;0;0;2018-10-17_11_31_36
2800702012;Alcorcón;1816;4;8.27;1;2018-10-17_11_31_36
2800702013;Alcorcón;1921;3;0;0;2018-10-17_11_31_36
2800702014;Alcorcón;2007;3;9.72;1;2018-10-17_11_31_36
2800702015;Alcorcón;2197;20;9.30;1;2018-10-17_11_31_36
2800702016;Alcorcón;2599;6;0;0;2018-10-17_11_31_36
2800702017;Alcorcón;1752;2;13.39;1;2018-10-17_11_31_36
2800702019;Alcorcón;2199;2;0;0;2018-10-17_11_31_36
2800702020;Alcorcón;2216;6;9.00;1;2018-10-17_11_31_36
2800702021;Alcorcón;2838;2;0;0;2018-10-17_11_31_36
2800702022;Alcorcón;2313;3;10.45;1;2018-10-17_11_31_36
2800702023;Alcorcón;2228;3;0;0;2018-10-17_11_31_36
2800702024;Alcorcón;2145;2;0;0;2018-10-17_11_31_36
2800702025;Alcorcón;0;0;0;0;2018-10-17_11_31_36
2800702026;Alcorcón;0;0;0;0;2018-10-17_11_31_36
2800702027;Alcorcón;2696;3;11.28;2;2018-10-17_11_31_36
2800702028;Alcorcón;2326;5;10.20;2;2018-10-17_11_31_36
2800702029;Alcorcón;2456;3;10.56;1;2018-10-17_11_31_36
2800702030;Alcorcón;2254;5;0;0;2018-10-17_11_31_36
2800702031;Alcorcón;2810;2;0;0;2018-10-17_12_05_49
2800702032;Alcorcón;2692;4;0;0;2018-10-17_12_05_49
2800702033;Alcorcón;2568;11;0;0;2018-10-17_12_05_49
2800702034;Alcorcón;2839;6;9.60;4;2018-10-17_12_05_49
2800702035;Alcorcón;2657;3;0;0;2018-10-17_12_05_49
2800702036;Alcorcón;0;0;0;0;2018-10-17_12_05_49
2800702037;Alcorcón;2657;5;0;0;2018-10-17_12_05_49
2800702038;Alcorcón;3124;2;0;0;2018-10-17_12_05_49
2800703001;Alcorcón;1883;4;13.40;2;2018-10-17_12_05_49
2800703002;Alcorcón;2078;2;0;0;2018-10-17_12_05_49
2800703003;Alcorcón;1875;1;10.83;1;2018-10-17_12_05_49
2800703004;Alcorcón;2234;3;0;0;2018-10-17_12_05_49
2800703005;Alcorcón;1799;7;0;0;2018-10-17_12_05_49
2800703006;Alcorcón;0;0;0;0;2018-10-17_12_05_49
2800703007;Alcorcón;1811;5;10.71;1;2018-10-17_12_05_49
2800703008;Alcorcón;2028;2;0;0;2018-10-17_12_05_49
2800703009;Alcorcón;1844;3;15.12;1;2018-10-17_12_05_49
2800703010;Alcorcón;2176;2;0;0;2018-10-17_12_05_49
2800703011;Alcorcón;1575;1;0;0;2018-10-17_12_05_49
2800703012;Alcorcón;2677;4;10.00;1;2018-10-17_12_05_49
2800703013;Alcorcón;2333;1;9.47;1;2018-10-17_12_05_49
2800703014;Alcorcón;2234;3;0;0;2018-10-17_12_05_49
2800703015;Alcorcón;0;0;0;0;2018-10-17_12_05_49
2800703016;Alcorcón;2339;3;0;0;2018-10-17_12_05_49
2800703017;Alcorcón;2275;1;9.29;1;2018-10-17_12_05_49
2800703018;Alcorcón;1869;2;0;0;2018-10-17_12_05_49
2800703019;Alcorcón;1832;2;0;0;2018-10-17_12_05_49
