CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2801301001;Aranjuez;1311;16;0;0;2018-10-17_13_18_06
2801301002;Aranjuez;1685;8;6.96;1;2018-10-17_13_18_06
2801301003;Aranjuez;1719;23;0;0;2018-10-17_13_18_06
2801301004;Aranjuez;0;0;0;0;2018-10-17_13_18_06
2801301005;Aranjuez;0;0;0;0;2018-10-17_13_18_06
2801301006;Aranjuez;0;0;0;0;2018-10-17_13_18_06
2801301007;Aranjuez;0;0;0;0;2018-10-17_13_18_06
2801301008;Aranjuez;0;0;0;0;2018-10-17_13_18_06
2801301009;Aranjuez;1880;12;0;0;2018-10-17_13_18_06
2801302001;Aranjuez;1686;13;4.20;2;2018-10-17_13_18_06
2801302002;Aranjuez;1127;27;0;0;2018-10-17_13_18_06
2801302003;Aranjuez;1400;24;0;0;2018-10-17_13_18_06
2801302004;Aranjuez;1330;11;0;0;2018-10-17_13_18_06
2801302005;Aranjuez;1167;10;5.00;1;2018-10-17_13_18_06
2801302006;Aranjuez;1329;16;6.67;1;2018-10-17_13_18_06
2801302007;Aranjuez;1343;16;0;0;2018-10-17_13_18_06
2801302008;Aranjuez;1449;22;6.19;5;2018-10-17_13_18_06
2801303001;Aranjuez;1615;14;7.31;1;2018-10-17_13_18_06
2801303002;Aranjuez;1428;20;5.88;1;2018-10-17_13_18_06
2801303003;Aranjuez;1616;26;8.29;4;2018-10-17_13_18_06
2801303004;Aranjuez;1633;15;5.68;2;2018-10-17_13_18_06
2801303005;Aranjuez;1600;1;0;0;2018-10-17_13_18_06
2801303006;Aranjuez;1096;6;0;0;2018-10-17_13_18_06
2801303007;Aranjuez;1828;3;0;0;2018-10-17_13_18_06
2801303008;Aranjuez;1261;9;5.56;1;2018-10-17_13_18_06
2801303009;Aranjuez;1384;8;7.19;2;2018-10-17_13_18_06
2801303010;Aranjuez;1701;22;6.67;1;2018-10-17_13_18_06
2801304001;Aranjuez;1912;6;0;0;2018-10-17_13_18_06
2801304002;Aranjuez;1505;11;7.50;1;2018-10-17_13_18_06
2801304003;Aranjuez;0;0;0;0;2018-10-17_13_18_06
2801304004;Aranjuez;1262;36;4.80;3;2018-10-17_13_18_06
2801304005;Aranjuez;1276;47;3.14;4;2018-10-17_13_18_06
