CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2801401001;Arganda del Rey;1781;58;7.22;3;2018-10-17_13_18_06
2801401002;Arganda del Rey;1571;8;0;0;2018-10-17_13_18_06
2801401003;Arganda del Rey;1559;20;6.68;2;2018-10-17_13_18_06
2801401004;Arganda del Rey;1461;11;7.81;2;2018-10-17_13_18_06
2801401005;Arganda del Rey;1539;12;0;0;2018-10-17_13_18_06
2801401006;Arganda del Rey;1076;1;0;0;2018-10-17_13_18_06
2801401007;Arganda del Rey;1268;13;0;0;2018-10-17_13_18_06
2801401008;Arganda del Rey;1375;15;0;0;2018-10-17_13_18_06
2801401009;Arganda del Rey;1457;16;0;0;2018-10-17_13_18_06
2801401010;Arganda del Rey;1566;27;0;0;2018-10-17_13_18_06
2801401011;Arganda del Rey;1313;10;0;0;2018-10-17_13_18_06
2801401012;Arganda del Rey;1666;26;7.19;1;2018-10-17_13_18_06
2801401013;Arganda del Rey;1748;96;7.89;13;2018-10-17_13_18_06
2801401014;Arganda del Rey;1634;22;5.36;1;2018-10-17_13_18_06
2801401015;Arganda del Rey;1577;4;0;0;2018-10-17_13_18_06
2801401016;Arganda del Rey;1353;4;0;0;2018-10-17_13_18_06
2801401017;Arganda del Rey;1306;11;6.67;1;2018-10-17_13_18_06
2801401018;Arganda del Rey;1421;14;8.68;2;2018-10-17_13_18_06
2801401019;Arganda del Rey;1591;20;0;0;2018-10-17_13_18_06
2801401020;Arganda del Rey;1680;10;6.19;1;2018-10-17_13_18_06
2801401021;Arganda del Rey;1688;14;0;0;2018-10-17_13_18_06
2801401022;Arganda del Rey;0;0;0;0;2018-10-17_13_18_06
2801401023;Arganda del Rey;1642;3;6.75;2;2018-10-17_13_18_06
2801401024;Arganda del Rey;1571;25;6.22;2;2018-10-17_13_18_06
2801401025;Arganda del Rey;1723;10;7.32;1;2018-10-17_13_18_06
2801401026;Arganda del Rey;1640;18;13.33;3;2018-10-17_13_18_06
