CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2801501001;Arroyomolinos;1512;18;7.27;2;2018-10-17_13_18_06
2801501002;Arroyomolinos;1390;16;6.47;2;2018-10-17_13_18_06
2801501003;Arroyomolinos;1304;10;8.18;1;2018-10-17_13_18_06
2801501004;Arroyomolinos;1565;19;6.30;1;2018-10-17_13_18_06
2801501005;Arroyomolinos;1262;20;0;0;2018-10-17_13_18_06
2801501006;Arroyomolinos;1804;21;7.66;5;2018-10-17_13_18_06
2801501007;Arroyomolinos;1390;41;9.33;3;2018-10-17_13_18_06
2801501008;Arroyomolinos;1553;25;8.18;1;2018-10-17_13_18_06
2801501009;Arroyomolinos;1796;51;9.70;4;2018-10-17_13_18_06
2801501010;Arroyomolinos;1621;21;4.29;1;2018-10-17_13_18_06
2801501011;Arroyomolinos;1471;27;7.14;1;2018-10-17_13_18_06
