CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2802201001;Boadilla del Monte;0;0;0;0;2018-10-17_13_18_06
2802201002;Boadilla del Monte;0;0;0;0;2018-10-17_13_18_06
2802201003;Boadilla del Monte;2230;89;6.68;6;2018-10-17_13_18_06
2802201004;Boadilla del Monte;2179;153;7.52;19;2018-10-17_13_18_06
2802201005;Boadilla del Monte;2136;32;7.83;16;2018-10-17_13_18_06
2802201006;Boadilla del Monte;2581;5;8.66;6;2018-10-17_13_18_06
2802201007;Boadilla del Monte;1916;61;10.83;1;2018-10-17_13_18_06
2802201008;Boadilla del Monte;3270;42;6.87;3;2018-10-17_13_18_06
2802201009;Boadilla del Monte;1984;36;8.30;8;2018-10-17_13_18_06
2802201010;Boadilla del Monte;1838;101;7.73;9;2018-10-17_13_18_06
2802201011;Boadilla del Monte;2950;3;8.41;2;2018-10-17_13_18_06
2802201012;Boadilla del Monte;2404;6;9.17;8;2018-10-17_13_18_06
2802201013;Boadilla del Monte;2911;13;10.09;16;2018-10-17_13_18_06
2802201014;Boadilla del Monte;2572;7;10.81;4;2018-10-17_13_18_06
2802201015;Boadilla del Monte;2289;8;10.32;12;2018-10-17_13_18_06
2802201016;Boadilla del Monte;2845;5;9.16;3;2018-10-17_13_18_06
2802201017;Boadilla del Monte;2648;19;8.71;1;2018-10-17_13_18_06
2802201018;Boadilla del Monte;2637;15;11.02;3;2018-10-17_13_18_06
2802201019;Boadilla del Monte;3121;42;9.42;12;2018-10-17_13_18_06
2802201020;Boadilla del Monte;2835;32;8.37;9;2018-10-17_13_18_06
2802201021;Boadilla del Monte;3435;2;9.07;3;2018-10-17_13_18_06
2802201022;Boadilla del Monte;2548;26;8.06;7;2018-10-17_13_18_06
2802201023;Boadilla del Monte;2594;48;10.93;12;2018-10-17_13_18_06
2802201024;Boadilla del Monte;2376;15;8.60;7;2018-10-17_13_18_06
2802201025;Boadilla del Monte;2186;46;8.32;5;2018-10-17_13_18_06
