CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2804001001;Ciempozuelos;1544;11;8.00;1;2018-10-17_13_18_06
2804001002;Ciempozuelos;1322;19;7.08;1;2018-10-17_13_18_06
2804001003;Ciempozuelos;1383;15;9.35;1;2018-10-17_13_18_06
2804002001;Ciempozuelos;1178;27;0;0;2018-10-17_13_18_06
2804002002;Ciempozuelos;1243;14;7.97;1;2018-10-17_13_18_06
2804002003;Ciempozuelos;1396;32;7.06;1;2018-10-17_13_18_06
2804002004;Ciempozuelos;1195;32;8.44;1;2018-10-17_13_18_06
2804002005;Ciempozuelos;1343;34;7.41;3;2018-10-17_14_47_59
2804002006;Ciempozuelos;1246;27;9.45;2;2018-10-17_14_47_59
2804003001;Ciempozuelos;1499;37;7.78;2;2018-10-17_14_47_59
2804003002;Ciempozuelos;0;0;0;0;2018-10-17_14_47_59
