CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2804701001;Collado Villalba;1710;10;10.00;1;2018-10-17_14_47_59
2804701002;Collado Villalba;1699;10;10.60;2;2018-10-17_14_47_59
2804701003;Collado Villalba;1955;31;0;0;2018-10-17_14_47_59
2804701004;Collado Villalba;1821;47;9.60;6;2018-10-17_14_47_59
2804701005;Collado Villalba;1627;26;9.30;3;2018-10-17_14_47_59
2804701006;Collado Villalba;1748;15;0;0;2018-10-17_14_47_59
2804701007;Collado Villalba;1597;20;8.96;3;2018-10-17_14_47_59
2804701008;Collado Villalba;1650;13;15.00;1;2018-10-17_14_47_59
2804701009;Collado Villalba;1401;28;7.33;1;2018-10-17_14_47_59
2804701010;Collado Villalba;1985;26;0;0;2018-10-17_14_47_59
2804701011;Collado Villalba;1743;17;0;0;2018-10-17_14_47_59
2804701012;Collado Villalba;1415;12;0;0;2018-10-17_14_47_59
2804701013;Collado Villalba;1893;40;9.52;2;2018-10-17_14_47_59
2804701014;Collado Villalba;1505;19;10.54;3;2018-10-17_14_47_59
2804701015;Collado Villalba;1381;10;8.69;1;2018-10-17_14_47_59
2804701016;Collado Villalba;1601;30;8.26;2;2018-10-17_14_47_59
2804701017;Collado Villalba;1380;64;4.94;5;2018-10-17_14_47_59
2804701018;Collado Villalba;1598;47;5.93;8;2018-10-17_14_47_59
2804701019;Collado Villalba;1909;30;9.22;3;2018-10-17_14_47_59
2804701020;Collado Villalba;1544;24;6.96;4;2018-10-17_14_47_59
2804701021;Collado Villalba;1805;28;18.60;1;2018-10-17_14_47_59
2804701022;Collado Villalba;1595;13;10.00;1;2018-10-17_14_47_59
2804701023;Collado Villalba;1649;12;8.13;4;2018-10-17_14_47_59
2804701024;Collado Villalba;1484;15;8.18;1;2018-10-17_14_47_59
2804701025;Collado Villalba;0;0;0;0;2018-10-17_14_47_59
2804701026;Collado Villalba;1481;54;7.35;2;2018-10-17_14_47_59
2804701027;Collado Villalba;1677;28;0;0;2018-10-17_14_47_59
2804701028;Collado Villalba;1870;40;8.74;3;2018-10-17_14_47_59
2804701029;Collado Villalba;1638;20;15.13;2;2018-10-17_14_47_59
2804701030;Collado Villalba;1805;20;7.78;1;2018-10-17_14_47_59
