CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2804501001;Colmenar Viejo;1730;12;6.33;7;2018-10-17_14_47_59
2804501002;Colmenar Viejo;1676;13;0;0;2018-10-17_14_47_59
2804501003;Colmenar Viejo;1675;16;5.50;1;2018-10-17_14_47_59
2804501004;Colmenar Viejo;1716;16;0;0;2018-10-17_14_47_59
2804501005;Colmenar Viejo;0;0;0;0;2018-10-17_14_47_59
2804501006;Colmenar Viejo;1694;14;0;0;2018-10-17_14_47_59
2804501007;Colmenar Viejo;1486;8;12.37;2;2018-10-17_14_47_59
2804501008;Colmenar Viejo;1522;13;14.00;1;2018-10-17_14_47_59
2804501009;Colmenar Viejo;1808;7;0;0;2018-10-17_14_47_59
2804501010;Colmenar Viejo;1548;5;10.25;1;2018-10-17_14_47_59
2804501011;Colmenar Viejo;1917;9;0;0;2018-10-17_14_47_59
2804501012;Colmenar Viejo;2470;6;7.45;1;2018-10-17_14_47_59
2804501013;Colmenar Viejo;2036;9;0;0;2018-10-17_14_47_59
2804501014;Colmenar Viejo;1886;5;5.67;1;2018-10-17_14_47_59
2804501015;Colmenar Viejo;1769;13;9.29;2;2018-10-17_14_47_59
2804501016;Colmenar Viejo;0;0;0;0;2018-10-17_14_47_59
2804501017;Colmenar Viejo;1769;21;4.12;1;2018-10-17_14_47_59
2804501018;Colmenar Viejo;1781;5;0;0;2018-10-17_14_47_59
2804501019;Colmenar Viejo;2005;2;9.64;1;2018-10-17_14_47_59
2804501020;Colmenar Viejo;1868;6;0;0;2018-10-17_14_47_59
2804501021;Colmenar Viejo;1734;22;0;0;2018-10-17_14_47_59
2804501022;Colmenar Viejo;1727;7;5.96;3;2018-10-17_14_47_59
2804501023;Colmenar Viejo;1733;52;9.17;4;2018-10-17_14_47_59
