CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2804901001;Coslada;2381;1;0;0;2018-10-17_14_47_59
2804901002;Coslada;2400;1;0;0;2018-10-17_14_47_59
2804901003;Coslada;2219;2;0;0;2018-10-17_14_47_59
2804901004;Coslada;1842;6;11.25;1;2018-10-17_14_47_59
2804901005;Coslada;1765;3;0;0;2018-10-17_14_47_59
2804901006;Coslada;2016;1;0;0;2018-10-17_14_47_59
2804901007;Coslada;2311;4;0;0;2018-10-17_14_47_59
2804901008;Coslada;1634;5;0;0;2018-10-17_14_47_59
2804901009;Coslada;2016;1;0;0;2018-10-17_14_47_59
2804901010;Coslada;1969;2;0;0;2018-10-17_14_47_59
2804901011;Coslada;2014;1;0;0;2018-10-17_14_47_59
2804901013;Coslada;1811;4;0;0;2018-10-17_14_47_59
2804901014;Coslada;1783;1;0;0;2018-10-17_14_47_59
2804901015;Coslada;1950;1;0;0;2018-10-17_14_47_59
2804901016;Coslada;1946;5;11.25;1;2018-10-17_14_47_59
2804901017;Coslada;2345;4;0;0;2018-10-17_14_47_59
2804901018;Coslada;2809;7;0;0;2018-10-17_14_47_59
2804901019;Coslada;2518;4;10.56;1;2018-10-17_14_47_59
2804901020;Coslada;2365;8;0;0;2018-10-17_14_47_59
2804901021;Coslada;2656;5;0;0;2018-10-17_14_47_59
2804901022;Coslada;2603;8;0;0;2018-10-17_14_47_59
2804901023;Coslada;0;0;0;0;2018-10-17_14_47_59
2804901024;Coslada;2673;1;8.67;1;2018-10-17_14_47_59
2804902001;Coslada;2390;3;0;0;2018-10-17_14_47_59
2804902002;Coslada;1713;5;0;0;2018-10-17_14_47_59
2804902003;Coslada;2057;3;0;0;2018-10-17_14_47_59
2804902004;Coslada;1995;5;0;0;2018-10-17_14_47_59
2804902005;Coslada;2312;5;0;0;2018-10-17_14_47_59
2804902006;Coslada;1966;3;0;0;2018-10-17_14_47_59
2804902007;Coslada;1846;7;0;0;2018-10-17_14_47_59
2804902008;Coslada;1815;5;0;0;2018-10-17_14_47_59
2804902009;Coslada;1671;3;0;0;2018-10-17_14_47_59
2804902010;Coslada;1804;2;7.22;1;2018-10-17_14_47_59
2804902011;Coslada;1794;5;0;0;2018-10-17_14_47_59
2804902012;Coslada;1598;4;8.59;1;2018-10-17_14_47_59
2804902013;Coslada;1606;3;0;0;2018-10-17_14_47_59
2804902014;Coslada;1660;4;0;0;2018-10-17_14_47_59
2804902015;Coslada;1668;2;0;0;2018-10-17_14_47_59
2804902016;Coslada;2030;24;15.91;1;2018-10-17_14_47_59
2804902017;Coslada;2588;2;0;0;2018-10-17_14_47_59
2804902018;Coslada;1775;13;5.56;2;2018-10-17_14_47_59
2804902019;Coslada;1859;12;6.04;1;2018-10-17_14_47_59
2804902020;Coslada;2041;14;5.77;1;2018-10-17_14_47_59
2804902021;Coslada;2061;5;0;0;2018-10-17_14_47_59
2804903001;Coslada;1982;3;0;0;2018-10-17_14_47_59
2804903002;Coslada;2271;3;0;0;2018-10-17_14_47_59
2804903003;Coslada;2046;10;0;0;2018-10-17_14_47_59
2804903004;Coslada;2059;5;7.62;1;2018-10-17_14_47_59
2804903005;Coslada;2061;8;0;0;2018-10-17_14_47_59
2804903006;Coslada;2221;4;9.51;2;2018-10-17_14_47_59
2804903007;Coslada;1916;9;9.25;2;2018-10-17_14_47_59
2804903008;Coslada;2283;10;14.00;1;2018-10-17_14_47_59
2804903009;Coslada;1856;16;9.33;3;2018-10-17_14_47_59
2804904002;Coslada;2090;33;10.40;2;2018-10-17_14_47_59
2804904003;Coslada;1605;6;0;0;2018-10-17_14_47_59
