CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2805801002;Fuenlabrada;1537;7;0;0;2018-10-17_14_47_59
2805801003;Fuenlabrada;0;0;0;0;2018-10-17_14_47_59
2805801004;Fuenlabrada;1600;7;0;0;2018-10-17_14_47_59
2805801005;Fuenlabrada;1597;3;0;0;2018-10-17_14_47_59
2805801006;Fuenlabrada;1667;1;0;0;2018-10-17_14_47_59
2805801007;Fuenlabrada;1667;1;0;0;2018-10-17_14_47_59
2805802001;Fuenlabrada;1447;3;0;0;2018-10-17_14_47_59
2805802002;Fuenlabrada;1855;5;0;0;2018-10-17_14_47_59
2805802003;Fuenlabrada;1570;7;11.86;1;2018-10-17_14_47_59
2805802004;Fuenlabrada;1413;2;0;0;2018-10-17_14_47_59
2805802005;Fuenlabrada;1980;3;0;0;2018-10-17_14_47_59
2805802006;Fuenlabrada;1589;4;0;0;2018-10-17_14_47_59
2805802007;Fuenlabrada;1653;6;0;0;2018-10-17_14_47_59
2805802008;Fuenlabrada;0;0;9.49;1;2018-10-17_14_47_59
2805802009;Fuenlabrada;1577;6;8.15;2;2018-10-17_14_47_59
2805802010;Fuenlabrada;1682;3;8.82;1;2018-10-17_14_47_59
2805802011;Fuenlabrada;1398;1;9.62;1;2018-10-17_14_47_59
2805802012;Fuenlabrada;1746;10;8.39;2;2018-10-17_14_47_59
2805802013;Fuenlabrada;1924;4;8.43;3;2018-10-17_14_47_59
2805802014;Fuenlabrada;1592;2;0;0;2018-10-17_14_47_59
2805802015;Fuenlabrada;1646;4;0;0;2018-10-17_14_47_59
2805802016;Fuenlabrada;1572;2;8.84;2;2018-10-17_14_47_59
2805802017;Fuenlabrada;1373;8;0;0;2018-10-17_14_47_59
2805803001;Fuenlabrada;1714;1;8.33;1;2018-10-17_14_47_59
2805803002;Fuenlabrada;1887;4;0;0;2018-10-17_14_47_59
2805803003;Fuenlabrada;1643;6;10.00;1;2018-10-17_14_47_59
2805803004;Fuenlabrada;1694;8;0;0;2018-10-17_14_47_59
2805803005;Fuenlabrada;1868;3;8.33;1;2018-10-17_14_47_59
2805803006;Fuenlabrada;1576;4;8.33;1;2018-10-17_14_47_59
2805803007;Fuenlabrada;1503;7;0;0;2018-10-17_14_47_59
2805803008;Fuenlabrada;1834;11;0;0;2018-10-17_14_47_59
2805803009;Fuenlabrada;1654;6;0;0;2018-10-17_14_47_59
2805803010;Fuenlabrada;2156;2;10.00;1;2018-10-17_14_47_59
2805804001;Fuenlabrada;1658;17;8.00;1;2018-10-17_14_47_59
2805804002;Fuenlabrada;1338;3;0;0;2018-10-17_14_47_59
2805804003;Fuenlabrada;1756;11;0;0;2018-10-17_14_47_59
2805804004;Fuenlabrada;1417;15;7.14;1;2018-10-17_14_47_59
2805804005;Fuenlabrada;1657;10;8.69;3;2018-10-17_14_47_59
2805804006;Fuenlabrada;1747;9;0;0;2018-10-17_14_47_59
2805804007;Fuenlabrada;1694;18;9.40;1;2018-10-17_14_47_59
2805804008;Fuenlabrada;1593;6;0;0;2018-10-17_14_47_59
2805804009;Fuenlabrada;1739;1;0;0;2018-10-17_14_47_59
2805804010;Fuenlabrada;1821;3;0;0;2018-10-17_14_47_59
2805804011;Fuenlabrada;1128;2;0;0;2018-10-17_14_47_59
2805804012;Fuenlabrada;1578;9;8.95;1;2018-10-17_14_47_59
2805804013;Fuenlabrada;1644;11;7.05;1;2018-10-17_14_47_59
2805804014;Fuenlabrada;1756;11;0;0;2018-10-17_14_47_59
