CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2806101001;Galapagar;1556;61;9.05;6;2018-10-17_14_47_59
2806101002;Galapagar;1634;26;7.56;4;2018-10-17_14_47_59
2806101003;Galapagar;1638;41;6.73;4;2018-10-17_14_47_59
2806101004;Galapagar;1641;44;6.98;4;2018-10-17_14_47_59
2806101005;Galapagar;1535;49;0;0;2018-10-17_14_47_59
2806101006;Galapagar;1557;35;8.18;1;2018-10-17_14_47_59
2806101007;Galapagar;1718;18;6.69;2;2018-10-17_14_47_59
2806101008;Galapagar;1344;68;6.68;4;2018-10-17_14_47_59
2806101009;Galapagar;1506;70;5.04;1;2018-10-17_14_47_59
2806101010;Galapagar;1551;30;0;0;2018-10-17_14_47_59
2806101011;Galapagar;1574;49;5.12;2;2018-10-17_14_47_59
2806101012;Galapagar;1647;65;7.97;4;2018-10-17_14_47_59
2806101013;Galapagar;1414;34;5.75;3;2018-10-17_14_47_59
