CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2806501002;Getafe;1769;11;10.77;3;2018-10-17_15_27_31
2806501003;Getafe;2091;7;10.76;1;2018-10-17_15_27_31
2806501004;Getafe;2404;7;9.88;3;2018-10-17_15_27_31
2806501005;Getafe;2270;4;8.05;3;2018-10-17_15_27_31
2806501006;Getafe;1884;9;0;0;2018-10-17_15_27_31
2806501007;Getafe;2154;7;7.27;1;2018-10-17_15_27_31
2806501008;Getafe;2459;27;10.00;1;2018-10-17_15_27_31
2806501009;Getafe;2013;6;0;0;2018-10-17_15_27_31
2806501010;Getafe;1765;6;0;0;2018-10-17_15_27_31
2806501011;Getafe;2032;6;4.42;1;2018-10-17_15_27_31
2806501012;Getafe;1947;2;8.49;1;2018-10-17_15_28_50
2806501013;Getafe;1681;3;0;0;2018-10-17_15_28_50
2806501014;Getafe;1882;19;10.00;1;2018-10-17_15_28_50
2806501015;Getafe;1727;4;8.46;1;2018-10-17_15_28_50
2806501016;Getafe;1992;7;0;0;2018-10-17_15_28_50
2806501017;Getafe;2002;9;8.28;2;2018-10-17_15_28_50
2806501018;Getafe;1795;5;8.58;2;2018-10-17_15_28_50
2806501019;Getafe;2482;5;0;0;2018-10-17_15_28_50
2806502001;Getafe;2952;1;10.24;2;2018-10-17_15_28_50
2806502002;Getafe;1784;3;8.94;2;2018-10-17_15_28_50
2806502003;Getafe;2147;4;9.94;1;2018-10-17_15_28_50
2806502004;Getafe;1961;3;10.26;2;2018-10-17_15_28_50
2806502005;Getafe;2099;3;0;0;2018-10-17_15_28_50
2806502006;Getafe;1621;6;0;0;2018-10-17_15_28_50
2806502007;Getafe;1935;1;11.33;1;2018-10-17_15_28_50
2806502009;Getafe;2160;7;8.46;3;2018-10-17_15_28_50
2806502010;Getafe;2208;9;11.29;3;2018-10-17_15_28_50
2806502011;Getafe;2220;4;9.18;1;2018-10-17_15_35_47
2806502012;Getafe;2183;8;10.71;2;2018-10-17_15_35_47
2806502013;Getafe;2564;15;12.27;3;2018-10-17_15_35_47
2806502014;Getafe;1944;11;0;0;2018-10-17_15_35_47
2806502015;Getafe;2186;8;10.20;2;2018-10-17_15_35_47
2806502016;Getafe;2203;13;10.74;2;2018-10-17_15_35_47
2806502017;Getafe;1910;14;7.15;4;2018-10-17_15_35_47
2806502018;Getafe;1948;7;8.48;2;2018-10-17_15_35_47
2806502019;Getafe;2273;4;0;0;2018-10-17_15_35_47
2806502020;Getafe;1887;5;0;0;2018-10-17_15_35_47
2806502021;Getafe;2127;8;6.09;1;2018-10-17_15_35_47
2806503001;Getafe;2013;3;9.67;2;2018-10-17_15_35_47
2806503002;Getafe;2130;1;0;0;2018-10-17_15_47_14
2806503003;Getafe;1577;6;0;0;2018-10-17_15_47_14
