CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2807404027;Leganés;1823;5;0;0;2018-10-17_17_58_02
2807404028;Leganés;1811;1;0;0;2018-10-17_17_58_02
2807404029;Leganés;0;0;0;0;2018-10-17_17_58_02
2807404030;Leganés;0;0;0;0;2018-10-17_17_58_02
2807404031;Leganés;1916;3;0;0;2018-10-17_17_58_02
2807404032;Leganés;1645;1;10.00;1;2018-10-17_17_58_02
2807404033;Leganés;0;0;0;0;2018-10-17_17_58_02
2807404034;Leganés;1723;1;9.93;1;2018-10-17_17_58_02
2807404035;Leganés;0;0;10.62;1;2018-10-17_17_58_02
2807404036;Leganés;0;0;0;0;2018-10-17_17_58_02
2807404037;Leganés;2020;4;0;0;2018-10-17_17_58_02
2807404038;Leganés;1913;1;0;0;2018-10-17_17_58_02
2807404039;Leganés;2400;1;9.00;1;2018-10-17_17_58_02
2807404040;Leganés;1824;2;0;0;2018-10-17_17_58_02
2807404041;Leganés;2129;2;8.82;1;2018-10-17_17_58_02
2807405001;Leganés;2084;5;7.09;1;2018-10-17_17_58_02
2807405002;Leganés;2187;6;7.59;1;2018-10-17_17_58_02
2807405003;Leganés;2698;4;9.00;1;2018-10-17_17_58_02
2807405004;Leganés;2084;2;7.09;1;2018-10-17_17_58_02
2807405005;Leganés;2013;2;0;0;2018-10-17_17_58_02
2807405006;Leganés;2303;2;6.82;1;2018-10-17_17_58_02
2807405007;Leganés;0;0;0;0;2018-10-17_17_58_02
2807405008;Leganés;2652;2;0;0;2018-10-17_17_58_02
2807405009;Leganés;2461;2;0;0;2018-10-17_17_58_02
2807405010;Leganés;1862;1;0;0;2018-10-17_17_58_02
2807405011;Leganés;0;0;0;0;2018-10-17_17_58_02
2807405012;Leganés;1990;1;0;0;2018-10-17_17_58_02
2807405013;Leganés;2186;3;9.17;1;2018-10-17_17_58_02
2807405014;Leganés;2506;3;0;0;2018-10-17_17_58_02
2807405015;Leganés;2198;3;0;0;2018-10-17_17_58_02
2807405016;Leganés;2185;8;0;0;2018-10-17_17_58_02
2807405017;Leganés;1941;5;0;0;2018-10-17_17_58_02
2807405018;Leganés;2332;8;0;0;2018-10-17_17_58_02
2807405019;Leganés;1928;6;0;0;2018-10-17_17_58_02
2807406001;Leganés;1939;5;0;0;2018-10-17_17_58_02
2807406002;Leganés;1565;2;0;0;2018-10-17_17_58_02
2807406003;Leganés;1901;26;0;0;2018-10-17_17_58_02
2807406004;Leganés;1680;5;0;0;2018-10-17_17_58_02
2807406005;Leganés;1767;10;0;0;2018-10-17_17_58_02
2807406006;Leganés;1567;7;0;0;2018-10-17_17_58_02
2807406008;Leganés;1718;5;0;0;2018-10-17_17_58_02
2807406010;Leganés;1748;3;0;0;2018-10-17_17_58_02
2807407001;Leganés;1416;6;7.14;2;2018-10-17_17_58_02
2807407002;Leganés;1750;8;5.58;4;2018-10-17_17_58_02
2807407003;Leganés;1989;6;7.82;2;2018-10-17_17_58_02
2807407004;Leganés;1889;8;0;0;2018-10-17_17_58_02
2807407005;Leganés;1410;24;9.21;2;2018-10-17_17_58_02
2807407006;Leganés;2123;7;9.22;1;2018-10-17_17_58_02
