CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2808002007;Majadahonda;3444;5;12.58;3;2018-10-18_13_09_07
2808002008;Majadahonda;3438;58;13.31;25;2018-10-18_13_09_07
2808002009;Majadahonda;2304;12;0;0;2018-10-18_13_09_07
2808002010;Majadahonda;2677;6;13.25;3;2018-10-18_13_09_07
2808002011;Majadahonda;2426;3;0;0;2018-10-18_13_09_07
2808002012;Majadahonda;2878;3;7.69;1;2018-10-18_13_09_07
2808002013;Majadahonda;2560;8;9.76;3;2018-10-18_13_09_07
2808002014;Majadahonda;2305;8;11.68;8;2018-10-18_13_09_07
2808002015;Majadahonda;3134;12;11.28;7;2018-10-18_13_09_07
2808002016;Majadahonda;2715;5;8.31;1;2018-10-18_13_09_07
2808002017;Majadahonda;3169;7;14.47;3;2018-10-18_13_09_07
2808002018;Majadahonda;2916;17;12.36;4;2018-10-18_13_09_07
2808002019;Majadahonda;3306;10;9.36;1;2018-10-18_13_09_07
2808002020;Majadahonda;3556;12;12.41;9;2018-10-18_13_09_07
2808002021;Majadahonda;3651;16;12.55;2;2018-10-18_13_09_07
2808002022;Majadahonda;4163;29;11.96;8;2018-10-18_13_09_07
2808002023;Majadahonda;0;0;0;0;2018-10-18_13_09_07
2808002024;Majadahonda;3382;14;11.42;2;2018-10-18_13_09_07
