CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2808401001;Mejorada del Campo;1565;27;0;0;2018-10-18_13_09_07
2808401002;Mejorada del Campo;1626;18;9.40;4;2018-10-18_13_09_07
2808401003;Mejorada del Campo;1577;23;5.32;1;2018-10-18_13_09_07
2808401004;Mejorada del Campo;1406;11;9.04;1;2018-10-18_13_09_07
2808401005;Mejorada del Campo;1534;11;0;0;2018-10-18_13_09_07
2808401006;Mejorada del Campo;1375;6;0;0;2018-10-18_13_09_07
2808401007;Mejorada del Campo;1857;28;0;0;2018-10-18_13_09_07
2808401008;Mejorada del Campo;1463;9;0;0;2018-10-18_13_09_07
2808401009;Mejorada del Campo;1499;17;6.44;3;2018-10-18_13_09_07
2808401010;Mejorada del Campo;2100;5;0;0;2018-10-18_13_09_07
2808401011;Mejorada del Campo;979;29;4.76;1;2018-10-18_13_09_07
