CUSEC;NMUN;V_VENTA;N_VENTA;V_ALQL;N_ALQL;FECHA
2809201001;Móstoles;1818;8;9.06;4;2018-10-18_13_09_07
2809201002;Móstoles;1832;6;7.76;3;2018-10-18_13_09_07
2809201003;Móstoles;1707;2;0;0;2018-10-18_13_09_07
2809201004;Móstoles;1400;1;9.38;1;2018-10-18_13_09_07
2809201005;Móstoles;1882;1;0;0;2018-10-18_13_09_07
2809201006;Móstoles;1767;4;8.33;1;2018-10-18_13_09_07
2809201007;Móstoles;1794;3;0;0;2018-10-18_13_09_07
2809201008;Móstoles;1750;1;0;0;2018-10-18_13_09_07
2809201009;Móstoles;2025;6;0;0;2018-10-18_13_09_07
2809201010;Móstoles;1764;5;8.24;1;2018-10-18_13_09_07
2809201011;Móstoles;2019;3;0;0;2018-10-18_13_09_07
2809201012;Móstoles;1704;3;9.22;1;2018-10-18_13_09_07
2809201013;Móstoles;1972;3;8.06;1;2018-10-18_13_09_07
2809201014;Móstoles;1890;3;0;0;2018-10-18_13_09_07
2809201015;Móstoles;1896;40;9.22;1;2018-10-18_13_09_07
2809201016;Móstoles;1483;2;8.24;1;2018-10-18_13_09_07
2809201017;Móstoles;1524;20;6.47;2;2018-10-18_13_09_07
2809201018;Móstoles;1555;23;8.33;2;2018-10-18_13_09_07
2809201019;Móstoles;1328;36;0;0;2018-10-18_13_09_07
2809201020;Móstoles;0;0;0;0;2018-10-18_13_09_07
2809201021;Móstoles;0;0;8.75;1;2018-10-18_13_09_07
2809201022;Móstoles;1222;15;0;0;2018-10-18_13_09_07
2809201023;Móstoles;1284;8;4.80;1;2018-10-18_13_09_07
2809202001;Móstoles;1798;13;8.30;2;2018-10-18_13_09_07
2809202002;Móstoles;1626;5;0;0;2018-10-18_13_09_07
2809202003;Móstoles;1996;10;8.17;2;2018-10-18_13_09_07
2809202004;Móstoles;0;0;0;0;2018-10-18_13_09_07
2809202005;Móstoles;1715;3;6.76;1;2018-10-18_13_09_07
